1ch,2ch,3ch,4ch,5ch,6ch,7ch,8ch,class
5.36,9.43,12.06,18.14,9.84,2.49,1.92,4.77,oya
5.43,9.23,9.87,17.83,9.82,2.58,2.07,4.88,oya
5.21,8.22,9.28,18.17,9.54,2.58,2.06,4.8,oya
5.21,8.3,9.07,18.22,9.66,2.66,2.06,4.75,oya
5.18,8.41,9.19,15.09,8.59,2.68,1.79,5.16,oya
5.54,8.29,9.09,14.92,8.62,2.68,1.77,5.27,oya
5.63,8.39,9.22,15.16,8.61,2.68,1.79,5.31,oya
4.81,8.51,9.85,15.19,8.66,2.73,1.79,5.35,oya
4.62,6.97,10.11,14.99,8.7,2.66,1.9,5.35,oya
4.49,6.67,10.46,15.07,8.61,2.7,1.9,5.55,oya
4.4,6.66,11.89,15.38,8.51,2.73,1.94,5.57,oya
3.94,6.49,11.48,15.46,7.05,2.39,1.88,5.6,oya
4.07,6.01,12.15,13.89,6.1,2.38,1.84,5.6,oya
4.28,6.1,12.24,14.24,6.66,2.39,1.88,5.67,oya
4.4,10.79,12.27,14.29,7.1,2.36,1.9,5.93,oya
4.52,10.8,12.4,14.39,7.22,2.37,1.86,5.98,oya
4.51,10.8,12.35,14.77,6.74,2.2,1.86,5.96,oya
4.46,10.95,12.53,11.77,7.36,2.11,1.48,5.59,oya
4.88,10.9,11.05,11.83,7.41,2.07,1.55,6.11,oya
4.82,10.9,11.05,11.98,7.47,2.04,1.53,6.17,oya
4.82,10.92,10.92,13.98,8.84,2.35,1.55,5.07,oya
4.62,10.64,11.98,16.35,8.88,2.35,1.34,4.99,oya
5.77,10.81,12.15,16.03,8.84,2.35,1.36,5.12,oya
5.72,10.73,12.03,16.03,8.8,2.25,1.5,5.14,oya
6.21,10.65,12.81,16.17,8.73,2.25,1.5,4.75,oya
6.14,10.69,12.93,16.94,8.7,2.07,1.57,4.62,oya
6.06,10.77,12.84,16.94,8.7,2.11,1.61,4.59,oya
5.96,10.66,12.34,17.54,8.64,2.01,1.63,4.88,oya
5.96,10.46,12.11,17.84,8.6,2.05,1.5,4.92,oya
6.1,10.33,12.97,17.67,9.79,2.13,1.75,4.75,oya
6.96,11.01,11.38,18.18,10.11,2.09,1.7,4.75,oya
6.98,12.07,11.51,17.78,9.9,2.12,2.04,6.05,oya
6.92,12.11,10.8,17.64,10.01,2.17,2.07,6.05,oya
6.79,12.35,10.7,17.47,9.84,2.2,2.02,6.05,oya
6.88,8.66,11.82,17.42,9.57,2.24,2.02,5.99,oya
6.88,8.63,11.68,17.36,9.5,2.49,2.12,5.87,oya
6.88,8.59,15.12,17.18,9.35,2.49,2.12,5.89,oya
6.88,8.5,14.84,17.18,8.75,2.57,2.13,5.83,oya
6.64,8.26,14.68,17.11,8.89,2.6,2.1,5.33,oya
6.66,8.25,14.66,17.3,9.51,2.6,2.1,5.76,oya
7.01,8.65,14.9,15.71,8.15,2.4,2.1,5.83,oya
6.95,8.64,14.09,13.21,8.34,2.35,2.06,5.95,oya
5.97,8.43,13.95,13.72,8.21,2.31,2.1,5.88,oya
6.16,8.47,14.08,13.61,8.53,2.31,2.04,6.01,oya
5.65,8.46,13.2,13.41,8.48,2.27,2,6.01,oya
6.21,8.44,13.08,12.3,8.76,2.27,2,6.5,oya
6.34,8.2,13.09,11.85,8.79,2.24,2,6.52,oya
6.72,8.2,13.27,11.39,8.85,2.4,2.18,7.45,oya
6.78,10.15,13.27,10.87,9.11,2.37,2.17,7.54,oya
6.68,10.15,12.24,11.7,7.92,2.2,1.97,7.65,oya
6.57,10.83,12.73,10.28,7.47,2.25,1.96,7.71,oya
6.63,9.54,12.65,9.55,7.35,2.21,1.63,6.72,oya
6.6,9.59,12.64,9.62,8.13,2.18,1.58,6.7,oya
6.6,9.28,13.07,9.39,7.89,2.14,1.64,6.67,oya
6.44,9.32,12.11,9.48,7.85,2.11,1.64,6.55,oya
6.38,9.58,12.4,9.33,7.98,1.79,1.5,6.61,oya
6.4,9.46,7.84,9.16,7.98,1.9,1.55,8.08,oya
6.37,9.37,7.84,9.33,8.47,1.77,1.6,8.32,oya
6.34,9.43,8,9.29,8.29,1.72,1.58,8.31,oya
6.45,9.56,8.15,8.62,7.51,1.72,1.6,8.05,oya
6.3,9.2,7.73,11.56,9.36,1.99,1.82,8.08,oya
6.27,10.54,7.71,12.17,9.14,1.95,1.92,9.14,oya
6.27,10.54,10.22,12.41,9.3,1.94,1.88,9.44,oya
6.11,10.51,10.14,12.24,8.91,1.99,1.95,9.35,oya
6.17,10.51,10.22,12.26,8.9,2,1.95,9.34,oya
5.39,10.59,10.37,12.9,8.64,2,1.9,9.02,oya
5.18,10.6,10.48,13.11,8.61,2,1.84,9.13,oya
4.72,10.63,10.53,12.96,8.73,1.84,1.61,8.2,oya
4.64,8.75,10.57,12.94,8.44,1.88,1.67,8.94,oya
4.78,8.73,10.57,12.27,9.35,1.92,1.8,9.14,oya
4.03,6.92,10,12.28,9.85,2.07,1.82,9.09,oya
4.18,6.94,10.49,12.33,9.86,2.06,1.8,9.19,oya
4.27,6.82,10.55,12.31,9.23,2.05,1.8,9.19,oya
4.29,7.02,10.42,12.35,9.48,2.05,1.76,9.15,oya
4.24,6.79,10.59,12.3,9.52,2.04,1.75,9.12,oya
4.2,6.51,10.24,12.3,9.39,2.05,1.75,9.12,oya
4.38,6.64,10.24,12.39,9.35,1.95,1.7,7.82,oya
4.87,6.64,10.39,12.29,8.89,2.14,1.66,8.02,oya
4.91,6.55,12.05,12.74,9.85,2.32,1.72,8.16,oya
5.22,7.91,11.94,12.72,9.86,2.32,1.76,8.05,oya
4.93,7.88,11.9,10.44,8.24,1.95,1.52,7.94,oya
5.05,6.03,12.05,9.78,8.25,2.05,1.43,6.65,oya
5.11,6.06,10.21,9.58,8.2,2.1,1.48,6.2,oya
5.07,6.53,10.1,9.24,8.21,2.1,1.34,6.26,oya
5.11,6.58,10.06,9.17,8.2,2.1,1.4,6.32,oya
6.59,6.4,10.1,9.17,8.28,2.1,1.4,6.49,oya
6.57,6.36,10.6,8.83,8.47,2.19,1.47,6.32,oya
6.55,6.34,10.32,9.86,8.39,2.25,1.61,6.32,oya
7.47,7.07,10.42,9.83,8.46,2.21,1.57,5.12,oya
7.38,7.14,10.32,9.69,7.32,2.27,1.48,4.49,oya
7.72,7.24,11.19,9.68,6.68,2.19,1.61,5.71,oya
7.56,7.29,10.7,9.62,6.8,2.24,1.63,5.59,oya
7.51,7.29,10.7,10.08,6.65,2.28,1.63,5.59,oya
7.55,7.13,10.3,10.34,6.32,2.28,1.67,5.68,oya
7.55,7.13,10,10.92,6.72,2.38,1.69,5.77,oya
7.6,7.07,10.12,11.01,6.73,2.38,1.7,5.66,oya
7.48,6.95,10.36,12.74,6.58,2.41,1.75,6.17,oya
7.36,6.92,10.25,12.8,6.75,2.25,1.95,5.56,oya
7.36,6.98,8.05,12.39,5.36,2.07,1.91,5.41,oya
7.07,5.17,8.07,12.43,5.65,2.17,1.97,5.41,oya
7.14,5.47,8.79,12.33,5.53,2.13,2.02,5.57,oya
7.11,8.61,8.56,12.67,5.55,2.02,1.99,5.46,oya
7.23,8.61,8.35,12.02,5.35,1.99,1.94,5.46,oya
7.24,8.44,10.43,13.84,5.33,1.95,1.97,5.46,oya
7.18,8.5,10.31,14.02,5.4,2.13,1.94,5.46,oya
5.9,8.54,10.52,13.43,5.69,2.13,1.99,5.4,oya
6.31,8.57,9.99,13.43,5.48,2.07,1.94,5.39,oya
6.36,8.57,10.04,12.41,5.43,1.97,1.82,5.39,oya
5.37,7.98,9.94,12.69,5.43,2.01,1.82,5.39,oya
5.78,7.95,10.17,14.78,7.17,1.95,1.82,5.83,oya
4.99,7.95,9.14,14.78,7.46,1.84,1.75,4.69,oya
5,8.19,9.14,15.44,7.35,1.84,1.79,4.66,oya
5.23,10.87,9.12,15.35,7.35,1.8,1.77,4.71,oya
